"pasta, homemade, made without egg, cooked",124,4.37,25.12,0.98,0.14,0,0.074,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/190305-lemon-garlic-asparagus-pasta-horizontal-161-1553190755.jpg
"potato, baked, flesh and skin, without salt",93,2.5,21.15,0.13,0.035,2.2,0.01,https://images-na.ssl-images-amazon.com/images/I/81459bqY2HL._SX679_.jpg
"bread, multi-grain (includes whole-grain)",265,13.36,43.34,4.23,0.872,7.4,0.381,https://www.theflavorbender.com/wp-content/uploads/2019/02/Homemade-Bread-Featured-1.jpg
"vanilla, light, soft-serve ice cream, with cone",166,4.24,26.36,4.86,2.542,0.1,0.067,https://pychef.com/wp-content/uploads/2019/08/20180625-no-churn-vanilla-ice-cream-vicky-wasik-13-1500x1125.jpg
"pancakes, buttermilk, prepared from recipe",227,6.8,28.7,9.3,1.832,0,0.522,https://www.inspiredtaste.net/wp-content/uploads/2016/07/Pancake-Recipe-1-1200.jpg
"sandwiches and burgers, steak sandwich",225,14.87,25.47,6.9,1.87,0,0.391,https://media1.s-nbcnews.com/j/newscms/2019_21/2870431/190524-classic-american-cheeseburger-ew-207p_d9270c5c545b30ea094084c7f2342eb4.fit-760w.jpg
"cake, boston cream pie, commercially prepared",252,2.4,42.9,8.5,2.445,1.4,0.254,https://images-gmi-pmc.edge-generalmills.com/17de20c4-17b0-4980-90da-2e956a45c503.jpg
"muffins, plain,made with low fat (2%) milk",296,6.9,41.4,11.4,2.156,2.7,0.467,https://sugargeekshow.com/wp-content/uploads/2019/10/chocolate-chip-muffins-featured.jpg
"bananas, raw",89,1.09,22.84,0.33,0.112,2.6,0.001,https://thumbs-prod.si-cdn.com/GQWa1qJUrzp6l27gnhxhwMAtkpI=/fit-in/1600x0/https://public-media.si-cdn.com/filer/d5/24/d5243019-e0fc-4b3c-8cdb-48e22f38bff2/istock-183380744.jpg
"apples, raw, golden delicious, with skin",57,0.28,13.6,0.15,0.011,2.4,0.002,https://cdn.shopify.com/s/files/1/0150/9140/0758/products/apple_1200x.png?v=1573631893
"oranges, raw, all commercial varieties",47,0.94,11.75,0.12,0.015,2.4,0,https://i0.wp.com/cdn-prod.medicalnewstoday.com/content/images/articles/272/272782/oranges-in-a-box.jpg?w=1155&h=1444
"grapes, red or green, raw",69,0.72,18.1,0.16,0.054,0.9,0.002,https://dam.farmjournal.com/m/469f73418ba781e4/webimage-A2A71E65-EC01-418F-9DF30AB428B4F842.png
"cheese, cheddar",403,24.9,1.28,33.14,21.092,0,0.621,https://www.culturesforhealth.com/learn/wp-content/uploads/2016/04/Homemade-Cheddar-Cheese-header.jpg?w=640
chips (naturel),544,6,49,36,0,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Potato-Chips.jpg/1200px-Potato-Chips.jpg
"beef, bottom sirloin,roasted",193,26.34,0,9.73,3.527,0,0.054,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-roast-beef-horizontal-1540505165.jpg?crop=1xw:0.75xh;center,top&resize=1200:*"
"pork, leg (ham), cooked, roasted",209,27.03,0,10.32,3.369,0,0.077,https://www.seriouseats.com/recipes/images/2016/02/20160208-sous-vide-pork-chop-guide-food-lab-37-1500x1125.jpg
"chicken, broilers or fryers,cooked, roasted",239,28.19,0,13.16,3.6,0,0.096,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-190808-baked-drumsticks-0217-landscape-pf-1567089281.jpg
broccoli,20,2,3,0,0,0,0,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/health-benefits-of-broccoli-1296x728-feature.jpg?w=1155&h=1528
"cauliflower, cooked, boiled, drained, without salt",23,1.84,4.11,0.45,0.07,2.3,0.015,https://cafedelites.com/wp-content/uploads/2019/01/Cauliflower-Soup-RECIPE-IMAGE-1-500x375.jpg
"tomatoes, red, ripe, cooked",18,0.95,4.01,0.11,0.015,0.7,0.011,https://www.businesstimes.com.sg/sites/default/files/styles/large_popup/public/image/2020/02/18/rk_Tomatoes_180220.jpg?itok=kMnWBtzS
"kiwifruit, green, raw",61,1.14,14.66,0.52,0.029,3,0.003,https://i0.wp.com/cdn-prod.medicalnewstoday.com/content/images/articles/271/271232/chopped-kiwi-in-a-bowl-on-a-table.jpg?w=1155&h=1444
"beef, chuck eye country-style ribs",205,18.97,0,14.32,6.154,0,0.077,"https://hips.hearstapps.com/vidthumb/images/delish-oven-baked-ribs-seo-06-1543617130.jpg?crop=0.692xw:0.615xh;0.143xw,0.251xh&resize=1200:*"
"egg, whole, cooked, omelet",154,10.57,0.64,11.66,3.319,0,0.155,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/health-benefits-of-eggs-1296x728-feature.jpg?w=1155&h=1528
bacon,430,13,0,42,0,0,0,https://www.simplyrecipes.com/wp-content/uploads/2019/08/baked-bacon-Lead-1.jpg
"beef sausage, pre-cooked",405,15.5,0.03,37.57,15.098,0,0.822,https://natashaskitchen.com/wp-content/uploads/2017/04/Homemade-Sausage-2-500x375.jpg
"cake, chocolate, with chocolate frosting",389,3.48,52.84,20.05,5.917,2.2,0.348,https://food-images.files.bbci.co.uk/food/recipes/easy_chocolate_cake_31070_16x9.jpg
donut,413,6.2,34.6,27.8,0,0,0,https://www.theflavorbender.com/wp-content/uploads/2014/09/Simpsons-Doughnuts-4238-Copy-1-500x500.jpg
"healthy request, minestrone soup, condensed",63,2.38,11.9,0.4,0,2.4,0.325,https://www.inspiredtaste.net/wp-content/uploads/2018/10/Homemade-Vegetable-Soup-Recipe-2-1200.jpg
"ham, sliced, prepackaged (96% fat free)",107,16.59,0.5,3.8,1.062,0,1.13,https://az836796.vo.msecnd.net/media/image/product/en/large/0021375700000.jpg
hotdog,295,9.8,37.5,11.8,0,0,0,https://thumbor.thedailymeal.com/UTK3u5wHOhrrdUziEoWy0LAVP3M=/870x565/https://www.thedailymeal.com/sites/default/files/2014/09/25/mainshutterstock_boiledhotd_0.jpg
popcorn,376,13,72,4,0,0,0,"https://dwgyu36up6iuz.cloudfront.net/heru80fdn/image/upload/c_fill,d_placeholder_thescene.jpg,fl_progressive,g_face,h_450,q_80,w_800/v1574265788/thenewyorker_obsessions-what-popcorn-and-vaping-have-in-common.jpg"
"onions, yellow, sauteed",132,0.95,7.86,10.8,1.477,1.7,0.012,https://4.bp.blogspot.com/_gLGOsirSkHc/TTjEcAaH6tI/AAAAAAAAOG8/p1LShOTuLHY/s1600/caramelized+onions+5.jpg
"applesauce, canned, sweetened",68,0.16,17.49,0.17,0.03,1.2,0.002,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/73481BED-2EAA-4D9B-A167-F91014858EE7/Derivates/966fa00d-bdcc-4fd0-bd39-214d4f93a118.jpg
"melons, cantaloupe, raw",34,0.84,8.16,0.19,0.051,0.9,0.016,https://i0.wp.com/cdn-prod.medicalnewstoday.com/content/images/articles/279/279176/a-close-up-of-a-sliced-cantaloupe-on-a-blue-table.jpg?w=1155&h=1444
"sweet potato, cooked, baked in skin, without salt",90,2.01,20.71,0.15,0.034,3.3,0.036,https://www.blackhogmarket.com/wp-content/uploads/2018/01/SweetPotato.jpg
mango,60,0.82,14.98,0.38,0.092,1.6,0.001,https://www.freshfruitportal.com/assets/uploads/2019/12/Mango-AdobeStock_178731548.jpeg
"noodles, chinese, chow mein",459,10.58,67.02,17.64,1.764,2.7,0.847,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-chicken-chow-mein-1-jpg-1525987874.jpg?crop=0.986xw:0.740xh;0.0160xw,0.0817xh&resize=1200:*"
"toppings, strawberry",254,0.2,66.3,0.1,0.005,0.7,0.021,https://easyasecigs.co.nz/wp-content/uploads/2019/06/three-strawberries-1.jpg
"corn, sweet,cooked, boiled, without salt",97,3.34,21.71,1.41,0.197,2.7,0.003,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/190423-microwave-corn-140-1556657770.jpg?crop=0.534xw:0.801xh;0.245xw,0.115xh&resize=480:*"
"kellogg's, eggo, nutri-grain, waffles, blueberry",257,6.2,43.6,7.8,1.8,3.9,0.527,https://i.pinimg.com/originals/52/e5/5d/52e55d2ff6d06a48aedfa99c6c2652d6.jpg
"swanson, chicken and dumplings",93,4.45,9.72,4.05,1.822,0.8,0.401,https://tarasmulticulturaltable.com/wp-content/uploads/2016/01/Takari-Momo-Nepalese-Vegetable-and-Cheese-Dumplings-9-of-10-e1572977253355.jpg
tofu,67,8,2,3,0,0,0,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,w_1460/k%2Farchive%2F249f12fcc476b9cce640f6d3689efa89be8ac615"
kidney beans,95,7.1,15.2,0.7,0,0,0,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/kidney-beans-1296x728-feature.jpg?w=1155&h=1528
"peanuts, all types, dry-roasted, with salt",585,23.68,21.51,49.66,6.893,8,0.679,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/peanuts-1296x728-feature.jpg?w=1155&h=1528
"nuts, almonds, dry roasted, without salt added",595,21.06,21.2,52.05,4.03,10.9,0.003,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fblogs-images.forbes.com%2Frobertglatter%2Ffiles%2F2015%2F01%2FUnknown.jpg
"plums, raw",46,0.7,11.42,0.28,0.017,1.4,0,https://107fclzizww4ftn03ydjxa1a-wpengine.netdna-ssl.com/wp-content/uploads/2018/11/plums.jpg
"nuts, coconut meat, dried",660,6.88,23.65,64.53,57.218,16.3,0.037,https://experiencelife.com/wp-content/uploads/2011/07/Coconuts-1280x720.jpg
"fish, tuna salad",187,16.04,9.41,9.26,1.544,0,0.402,https://www.flavcity.com/wp-content/uploads/2019/11/tuna-salad-3.jpg
"pumpkin, cooked, boiled, drained, with salt",18,0.72,4.31,0.07,0.037,1.1,0.237,https://c.ndtvimg.com/2018-09/5msu8g4o_pumpkin-for-weight-loss_625x300_26_September_18.jpg
"cabbage, chinese (pak-choi), cooked,with salt",12,1.56,1.78,0.16,0.021,1,0.27,https://www.thespruceeats.com/thmb/G3Oj_wNLaca7eIoWzgyr6X2JXlk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Headsofgreencabbage-5bfda38346e0fb00264606e3.jpg
"lettuce, cos or romaine, raw",17,1.23,3.29,0.3,0.039,2.1,0.008,https://media4.s-nbcnews.com/j/newscms/2018_01/2281616/180104-romaine-lettuce-mn-0820_ec72c6630954ef7497ec89130e8dc742.fit-760w.jpg
"arugula, raw",25,2.58,3.65,0.66,0.086,1.6,0.027,https://i.dailymail.co.uk/i/pix/2016/07/17/01/05BB030C000005DC-0-image-a-2_1468716713715.jpg
"carrots, cooked, boiled, drained, with salt",35,0.76,8.22,0.18,0.037,3,0.302,https://i.ndtvimg.com/mt/cooks/2014-11/carrots.jpg
"radishes, oriental, cooked, boiled, drained, with salt",17,0.67,3.43,0.24,0.073,1.6,0.249,https://www.thespruceeats.com/thmb/FKoKMUF3TjNf46i8jTZE_XZp-jo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-994593838-de50e6d7db9a4b328fbfd17f3371dbee.jpg
"avocados, raw, all commercial varieties",160,2,8.53,14.66,2.126,6.7,0.007,https://cleananddelicious.com/wp-content/uploads/2016/03/Avocad0-CD.jpg
"cinnamon buns, frosted (includes honey buns)",436,4.72,49.59,24.36,12.11,1.3,0.305,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2009/9/25/1/FNM-110109-Copy-That-003_s4x3.jpg.rend.hgtvcom.826.620.suffix/1382539149987.jpeg
chicken mushroom chowder,78,3.27,7.76,3.67,0.612,1.2,0.347,https://www.budgetbytes.com/wp-content/uploads/2017/09/Creamy-Garlic-Mushroom-Soup-spoon.jpg
chicken noodle soup,48,2.38,6.35,1.59,0.397,0.8,0.524,https://assets.marthastewart.com/d37/EH0263-Classic%20Chicken-Vegetable%20Soup/EH0263-Classic%20Chicken-Vegetable%20Soup.jpg
hershey's milk chocolate with almond bites,550,9.76,51,35.73,17.39,3.6,0.074,https://www.myamericanmarket.com/210/hersheys-milk-chocolate-bar-with-almonds.jpg
"candies, reese's pieces candy",497,12.46,59.86,24.77,16.42,3,0.194,https://www.economycandy.com/wp-content/uploads/2019/07/products-Reeses-Peanut-Butter-Cups-1.jpg
"cereals, frosted oat cereal ",388,7.1,84.1,3.5,0.62,4.3,0.533,https://www.kroger.com/product/images/xlarge/front/0003800019878
"quaker, instant oatmeal, dry",368,8.85,75.86,4.75,0.785,6.4,0.7,https://s3-ap-southeast-1.amazonaws.com/www8.fairprice.com.sg/fpol/media/images/product/XL/10992066_XL1.jpg
"chickpeas,cooked with salt",164,8.86,27.42,2.59,0.269,7.6,0.243,https://i.ytimg.com/vi/zoUz8d_e-Ww/maxresdefault.jpg
"coffee, brewed, espresso, restaurant-prepared",9,0.12,1.67,0.18,0.092,0,0.014,https://media3.s-nbcnews.com/j/newscms/2019_33/2203981/171026-better-coffee-boost-se-329p_67dfb6820f7d3898b5486975903c2e51.fit-760w.jpg
"duck, domesticated, meat only, cooked, roasted",201,23.48,0,11.2,3.951,0,0.065,https://www.theblackpeppercorn.com/wp-content/uploads/2017/03/How-to-Smoke-Duck-Breast.jpg
"eggplant, cooked, boiled, drained, with salt",33,0.83,8.14,0.23,0.044,2.5,0.239,https://www.haifa-group.com/sites/default/files/crop/eggplant%20iso.jpg
"fish, salmon, atlantic, farmed, raw",208,20.42,0,13.42,3.05,0,0.059,https://sc02.alicdn.com/kf/UTB8c6R1NyaMiuJk43PTq6ySmXXaF/Salmon-Fish-Frozen-salmon-fillet-Salmon-Fish.jpg_640x640.jpg
"milk, nonfat,protein fortified",41,3.96,5.56,0.25,0.162,0,0.059,https://ichef.bbci.co.uk/wwfeatures/live/976_549/images/live/p0/7v/vr/p07vvrpj.jpg
"olives, pickled, canned or bottled, green",145,1.03,3.84,15.32,2.029,3.3,1.556,https://nutritionfacts.org/app/uploads/2019/01/5884349332_95d70f789d_o.jpg
"pizza hut 14' pepperoni pizza, thin 'n crispy crust",333,14.13,32.66,16.17,6.674,2.1,0.967,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.myrecipes.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fmedium_2x%2Fpublic%2Fimage%2Frecipes%2Fck%2Fgluten-free-cookbook%2Fpepperoni-pizza-ck-x.jpg%3Fitok%3DNWreajsZ&w=450&c=sc&poi=face&q=85
